Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-05-21,32140.0,32347.99999,31102.0,31472.1,63.41898782,2012489.3650921,31733.230602861
2018-05-20,31605.01,32498.9999,31469.71,32140.0,43.23732748,1383745.2973834,32003.488143977
2018-05-19,31405.0,31989.0,31009.0,31605.01,26.05487512,824941.56480436,31661.697129806
2018-05-18,30400.00001,31500.0,30000.0,31500.0,80.61651578,2471792.9475672,30661.123513607
2018-05-17,31205.0,31500.0,30310.0,30687.99,68.62608463,2132670.3019082,31076.671697162
2018-05-16,32234.47829,32388.94,31050.99,31398.99999,105.3324053,3306203.383476,31388.283349834
2018-05-15,32284.0,32900.0,31850.0,32234.47829,127.69459818,4112277.335671,32204.003883346
2018-05-14,32630.0,32900.0,31420.00001,32295.0,118.90080103,3844705.0931247,32335.401105958
2018-05-13,31790.0,32948.0,31520.0,32690.0,37.24658819,1206021.7008605,32379.387199398
2018-05-12,31330.00001,32500.0,30998.18,31789.99999,75.15116704,2374804.930754,31600.373278169
2018-05-11,33090.0,33677.0,31000.0,31328.99999,301.50881565,9679175.2761828,32102.461930727
2018-05-10,34074.84,34100.0,33000.0,33000.0,153.91878895,5155836.2185458,33497.120486185
2018-05-09,33605.0,34150.0,33080.0001,33810.0,109.89052565,3701116.8114642,33680.035558773
2018-05-08,33950.0,34140.0,33102.07,33605.0,131.16442648,4396980.4484207,33522.659812728
2018-05-07,34199.0,34250.0,33100.0,33950.0,123.73607532,4167478.2951797,33680.382090687
2018-05-06,34518.18,34928.0,33555.0,34199.99999,67.57629954,2310375.4503251,34189.138293338
2018-05-05,34399.95,35300.0,34009.02004,34518.18,138.88841549,4826842.6609407,34753.385614715
2018-05-04,34119.01007,34400.0,33650.0,34200.07,134.50043396,4588309.8760353,34113.718007779
2018-05-03,32470.0,34499.0,32300.0,34119.01007,223.68444322,7483374.8252639,33455.052651577
2018-05-02,32021.00001,32799.9,31800.90001,32470.0,97.94821602,3163340.5778512,32296.050978664
2018-05-01,32213.01002,32650.0,31790.0,32020.2,62.0446962,1988786.9127193,32054.100261986
2018-04-30,32533.802,32870.0,32204.00007,32429.99999,75.13520082,2444251.0965361,32531.371046598
2018-04-29,32162.0,32900.0,32150.01,32599.0,40.3980741,1315017.141525,32551.481000551
2018-04-28,31905.97998,32700.0,31650.0,32159.01,42.86409937,1387929.2163404,32379.75920968
2018-04-27,32800.0,32992.16,31600.0,31700.0,112.43456822,3656583.8061695,32521.882407327
2018-04-26,31349.99999,33050.0,30800.0,32640.0,176.93927421,5643183.316939,31893.333699569
2018-04-25,33932.0,34000.0,30000.0,31496.99999,399.68261014,12683051.134179,31732.807013387
2018-04-24,30797.0,34000.0,30754.01,33803.02,330.65722973,10816796.340618,32713.019308395
2018-04-23,30003.0,30890.0,29980.0,30797.0,130.7020792,3987820.5494786,30510.765963994
2018-04-22,30188.0,30488.00123,29900.0,30197.05,58.67265009,1771977.6106025,30201.083603424
2018-04-21,30450.0,30500.0,29315.99999,30090.00003,124.67468464,3745484.4456355,30042.060715458
2018-04-20,28178.87,30500.0,28002.13002,30499.98999,243.85783944,7135560.7001983,29261.149514752
2018-04-19,27890.0,28400.01,27650.0,28178.86968,121.1576443,3402367.1308139,28082.149916924
2018-04-18,27469.99999,27939.0,27216.0,27765.001,107.52633096,2972634.1799573,27645.639476559
2018-04-17,27350.0,27980.0,27111.0,27470.0,102.70171371,2826856.9489974,27524.92482238
2018-04-16,28200.0,28450.0,26900.0,27350.0,133.7681371,3656830.095784,27337.078732361
2018-04-15,27280.0,28490.0,27010.0,28200.0,97.88474123,2742882.9694926,28021.558161426
2018-04-14,26939.9999,27675.0,26800.0,27150.00002,70.24967865,1915630.6033495,27268.887775182
2018-04-13,26783.90001,28301.0,26055.0,26850.0,303.65310932,8306066.7017424,27353.800922187
2018-04-12,23711.06018,27000.0,23600.0,26947.94996,348.8999647,9014727.8751185,25837.571760346
2018-04-11,23480.0,24298.9998,23400.0,23900.0,100.02975792,2382375.9934915,23816.67258854
2018-04-10,23301.09019,23885.72,23164.74,23405.00003,98.99751269,2327476.9806848,23510.459176616
2018-04-09,23977.95995,24502.33,23106.39,23474.8689,132.48291293,3130626.9535898,23630.420590495
2018-04-08,23611.0,24150.0,23568.6276,23979.5668,46.11899321,1101759.3320886,23889.492276464
2018-04-07,22987.0,24161.57992,22770.99,23582.95,89.32133501,2108671.4887082,23607.702330827
2018-04-06,23300.0,23596.99,22550.0,22987.99,134.04372036,3066577.3815327,22877.441578739
2018-04-05,23776.0,24368.0,22800.0,23240.0,222.68308273,5191199.5873749,23312.051924794
2018-04-04,25549.0,25764.99997,23112.0,23776.0,234.92251975,5681149.4935353,24183.07746563
2018-04-03,24323.0,27599.0,24100.0,25549.0,372.88585064,9525051.6157595,25544.148697011
2018-04-02,23400.24086,24788.0,23400.24084,24323.0,152.00769644,3664885.4328697,24109.867583687
2018-04-01,24149.0,24480.0,23060.0,23400.15047,83.09838078,1958802.8598144,23572.094202417
2018-03-31,23699.98999,25100.0,23539.56646,24149.6,82.29296259,2006073.7614996,24377.22131228
2018-03-30,24675.91971,24890.0,23000.0,23699.99899,191.48124855,4545197.0920706,23737.034965509
2018-03-29,26851.02003,27278.99999,24400.0,24675.96973,292.55641244,7481228.2892825,25571.916974532
2018-03-28,27000.0,27599.98,26700.0,27000.0,86.01279899,2329995.5946423,27088.940506554
2018-03-27,28102.51816,28350.0,26900.0,27000.0,124.0173673,3399312.7605095,27409.973574802
2018-03-26,29287.06999,29300.0,26515.0,28100.01,278.15489509,7742838.8274828,27836.428422292
2018-03-25,29100.0,29440.0,28888.515,28967.72037,35.31277878,1028692.3565783,29130.881004497
2018-03-24,29549.99995,29844.97998,29009.0,29299.77993,64.82011279,1915818.569565,29555.92773761
2018-03-23,29198.90985,29845.60999,28100.0,29529.99999,124.06435382,3590475.7873624,28940.430323537
2018-03-22,29719.79018,30499.0,28190.0,29198.90985,152.32299896,4439211.7965491,29143.411217336
2018-03-21,29600.0,30900.02,28601.0,29948.89998,231.67720073,6938172.5174016,29947.58437835
2018-03-20,28350.0,29980.0,27700.0,29609.0,208.86519726,6062306.7671737,29024.973268415
2018-03-19,27350.0,29280.0,26046.0,28336.0,299.32006426,8346954.0576396,27886.383354472
2018-03-18,26401.00002,27600.0,24710.88001,27350.0,226.35796539,5830259.2182046,25756.810493324
2018-03-17,27352.02024,27980.0,25890.88,26699.99966,129.29860038,3467547.7772832,26818.13853431
2018-03-16,26893.00001,28999.0,26201.0,27352.0,201.56975356,5618595.8421609,27874.201078925
2018-03-15,26627.99989,27900.0,25000.0,26893.0,258.76716702,6883135.860412,26599.726463288
2018-03-14,30345.0,30699.12,25439.00001,26629.99982,451.74610524,12531192.691858,27739.459281449
2018-03-13,30670.0,31195.0,29751.0,30349.0,127.03284484,3838837.4098079,30219.250892499
2018-03-12,30999.0,32500.0,29701.0,30839.99,190.19208899,5937911.3844023,31220.601319093
2018-03-11,30331.98998,32698.99,29050.14,30950.0,162.37295347,5021693.9675423,30926.911534378
2018-03-10,31441.00009,33289.0,29945.0,30333.99,159.17144502,5026662.7042286,31580.178866863
2018-03-09,31150.0,32000.0,28650.0,31499.99999,343.44911674,10404112.799979,30293.025350406
2018-03-08,33545.0,34500.0,30990.0,31199.97999,271.47290651,8864477.936011,32653.269344521
2018-03-07,35500.0,36398.9999,32102.0,33500.0,366.2482882,12512051.655664,34162.758049074
2018-03-06,38007.07002,38100.0,35305.0,35500.0,290.1507283,10585420.507561,36482.488152214
2018-03-05,37490.0,38424.0,37117.0,38007.07002,162.78683669,6143169.6761,37737.508763062
2018-03-04,37500.0,37679.0,36700.0,37301.01,66.11865641,2452492.8165188,37092.296632752
2018-03-03,36394.81,37800.0,36201.44003,37638.0,125.76662095,4653979.5915549,37004.886959674
2018-03-02,35974.97,36500.0,35642.0,36201.22206,145.01083592,5245108.5856271,36170.459623588
2018-03-01,34698.99999,36200.0,34450.0,35974.98,166.63422301,5918095.3850694,35515.485823787
2018-02-28,35451.0,36100.0,34012.0,34500.0,181.11649193,6360907.2172646,35120.530159799
2018-02-27,33800.0,35999.0,33500.0,35450.0,209.81762538,7376043.5550053,35154.546914954
2018-02-26,32260.0,34500.0,31850.0,33996.95,208.86281688,6957472.2240944,33311.205546422
2018-02-25,32699.99,33497.0,31510.98766,32260.0,75.44133666,2438173.4337725,32318.79950326
2018-02-24,34010.67,34899.0,32000.0,32350.00001,115.97375441,3854628.661059,33237.077480753
2018-02-23,33013.0,35200.0,32000.0,34010.67,256.96201143,8707963.438706,33888.135410546
2018-02-22,35479.0,37200.0,31900.00001,33355.611,354.68303921,11986990.367873,33796.345025609
2018-02-21,37789.0,38899.0,34202.02,35500.0,528.94079642,19200718.249091,36300.316366304
2018-02-20,37495.20812,39500.0,37250.0,37788.0,377.44791155,14499039.165432,38413.351145304
2018-02-19,35698.98998,37999.0,35000.0,37250.0,261.29570766,9604776.6999499,36758.264366316
2018-02-18,37000.0,38043.0,35000.0,35698.98999,305.42977963,11157789.665046,36531.439987819
2018-02-17,33740.0,37000.0,33280.00002,37000.0,303.7397765,10714627.785427,35275.6820621
2018-02-16,33640.0,34094.0,0.0,33750.0,194.58646956,6467784.5824263,33238.61415982
2018-02-15,31700.0,34856.0,31400.0,33799.0,474.16189964,15723838.420965,33161.328299264
2018-02-14,28650.0,32000.28,28649.99999,31700.0,375.02436671,11548516.899507,30794.044133238
2018-02-13,28861.0,29100.0,28320.0,28650.0,55.69233285,1597772.5799045,28689.273696038
2018-02-12,27672.1,29100.0,27650.0,29000.0,127.40826711,3666046.0403531,28774.004415176
2018-02-11,28484.94994,28500.0,27200.0,27750.0,95.39990305,2672789.5533602,28016.690456796
2018-02-10,28399.99999,29550.0,27605.0,28489.96997,224.0045736,6433226.22933,28719.173568383
2018-02-09,27499.9999,29100.0,25600.0,28390.0,324.63565955,9075709.1197674,27956.599507115
2018-02-08,24849.98999,28500.0,24341.0,27499.99991,354.15061733,9652407.1183109,27255.090478402
2018-02-07,24949.98999,28900.0,24151.0,24650.0,631.05593771,17019528.743297,26969.920931349
2018-02-06,22996.99,25499.0,20000.0,24949.99,912.43520643,20899370.665175,22905.046317696
2018-02-05,27300.0,28100.0,21550.00001,22700.01,716.04265239,17357072.996257,24240.278059307
2018-02-04,30227.0,30464.99,26300.0,27300.0,215.17661901,6042019.6562436,28079.350275333
2018-02-03,28652.0,32998.0,27750.0,30229.9,286.58307591,8728126.9955949,30455.835425313
2018-02-02,27302.0,32999.0,19000.0,28699.0,1122.10086814,28679564.242119,25558.811205323
2018-02-01,31799.0,32299.99993,27000.0,27694.0,670.65876825,19233296.71654,28678.215550252
2018-01-31,32989.99999,33799.0,30129.0,31799.0,323.49160492,10381120.564496,32090.849983768
2018-01-30,35999.9999,36200.0,32500.0,32999.89999,323.3429152,11124736.224978,34405.381104754
2018-01-29,37051.0,37200.0,35800.0,35999.9999,174.82542462,6357096.8634321,36362.542103071
2018-01-28,36680.0,38090.0,36299.0,37070.0,103.63842645,3861950.5239211,37263.693170644
2018-01-27,35897.90984,37050.0,35599.99999,36680.0,72.5566182,2630243.3615324,36250.908969906
2018-01-26,36749.99,37200.0,35280.0,35897.90995,198.5884899,7128388.3810499,35895.274618581
2018-01-25,36688.00003,37570.0,36400.0,36798.0,142.72527756,5263221.8855762,36876.592398733
2018-01-24,36100.00005,37790.0,35018.0,36949.99999,173.40108778,6359407.0722517,36674.551201894
2018-01-23,36350.00001,37960.0,33600.0,36076.00005,320.07093643,11518320.268859,35986.773423827
2018-01-22,38640.00001,39640.0,34200.0,36350.00001,416.96066985,15345997.261338,36804.423944489
2018-01-21,41616.0,41830.0,38250.0,38640.0,220.01921554,8755131.0730612,39792.574714773
2018-01-20,38901.01,42000.0,38860.0,41616.0,188.89035062,7753431.533104,41047.261057299
2018-01-19,38999.89,40800.0,38001.0,39399.99998,304.17226877,11971837.850444,39358.742001221
2018-01-18,38449.0,41890.0,36489.99975,39000.0,549.54955355,21904872.959392,39859.686570373
2018-01-17,38196.99997,40998.0,32000.09,38499.99,911.21554511,32400499.722679,35557.448395777
2018-01-16,45852.0,46299.989,32301.23,38199.0,1143.39656809,44962471.149992,39323.601631147
2018-01-15,46465.99999,47450.25,45600.0,46148.0,170.55022453,7982604.5911468,46805.007810134
2018-01-14,46890.01952,47234.99899,45100.0,46202.0,93.34151549,4290827.8728802,45969.125853114
2018-01-13,45716.0,47450.0,45221.02,47239.9,139.0008663,6516344.4881335,46879.884000648
2018-01-12,44499.0,47679.0,41000.0,45717.0,325.10863672,14548525.277,44749.734807969
2018-01-11,50100.0,50200.0,40001.0,44499.0,535.2103162,24806682.80252,46349.410786115
2018-01-10,49397.0,50777.0,47000.0,50000.0,377.65301249,18398890.703609,48719.035980405
2018-01-09,50900.0,52899.99,49000.0,49397.0,330.01650893,16726659.360942,50684.310961212
2018-01-08,55100.0,55700.0,50011.0,50900.0,465.55707255,24324595.976631,52248.365261423
2018-01-07,56798.0,56798.0,54711.0,55099.95,155.94721678,8664045.5562093,55557.551683862
2018-01-06,56899.0,57000.0,54500.0,56506.22,264.80137133,14816195.349929,55952.109596385
2018-01-05,52750.0,57000.0,52000.0,56900.0,518.17820268,28404350.93307,54815.796546755
2018-01-04,53148.9999,53600.0,51000.0,52750.0,354.2487824,18492171.554165,52201.0871255
2018-01-03,51595.0,53999.0,50385.0,53149.0,345.23973455,18152937.279395,52580.672103275
2018-01-02,48800.0,51999.0,47400.0,51204.02,476.1679263,23927138.282872,50249.369941386
2018-01-01,48499.99999,49181.89,47500.0,48800.0,106.05146911,5122906.8219467,48305.854364291
2017-12-31,46499.9,49897.0,45601.0,48205.55,247.36726582,11814955.397665,47762.808706721
2017-12-30,50242.0,50500.0,45101.0,46499.9,439.73833255,20908494.091648,47547.581240874
2017-12-29,49999.9,52150.0,48250.0,50400.0,294.95959937,14846536.989542,50334.137357293
2017-12-28,54898.99999,54900.0,45000.0,49999.9,727.16933301,36893842.639709,50736.246655223
2017-12-27,55600.0,57500.0,52000.0,54899.0,503.05361833,27734316.795168,55131.929847237
2017-12-26,51025.0,57000.0,50972.96199,55500.0,565.19534016,30972456.942188,54799.561746953
2017-12-25,51510.0,53991.0,49351.0,51499.0,215.30485795,11160477.886729,51835.699356682
2017-12-24,54186.0,55000.0,47000.0,51510.0,600.99151932,30552262.856622,50836.429258088
2017-12-23,48802.0,58000.0,48800.0,54189.0,592.62018968,32185949.810793,54311.26102567
2017-12-22,58787.99,59990.0,28971.11,48802.0,1981.47442853,97123095.727419,49015.568573081
2017-12-21,62601.016,65400.0,50000.0,58787.99,957.97362531,55816083.687279,58264.739458998
2017-12-20,66990.0,68250.0,62050.0,62999.0,1002.79280649,65074730.754518,64893.49577835
2017-12-19,68900.0,69250.12345,62001.0,67490.0,841.55827378,56866073.943553,67572.354423099
2017-12-18,69350.0,69899.0,66500.0,68710.0,585.66464491,40157561.199312,68567.501125978
2017-12-17,69189.99999,69950.0,66650.0,69350.0,523.84566869,36023991.062671,68768.328566613
